id,material name,T,Mo,Ni,W,Al,Cr,Ti,Si,Cu,Fe,Co,Mn,V,Zr,Hf,Ta,Nb,dm,classification
1,20Mo–20W–20Al–20Cr–20Ti ,1000,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,6.48,2
1,20Mo–20W–20Al–20Cr–20Ti ,1100,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,5.5045871559633,0
2,20Nb-20Mo-20Cr-20Ti-20Al ,900,20,0,0,20,20,20,0,0,0,0,0,0,0,0,0,20,0.447,0
2,20Nb-20Mo-20Cr-20Ti-20Al ,1000,20,0,0,20,20,20,0,0,0,0,0,0,0,0,0,20,2.77,0
2,20Nb-20Mo-20Cr-20Ti-20Al ,1100,20,0,0,20,20,20,0,0,0,0,0,0,0,0,0,20,5.38,0
3,20Ta-20Mo-20Cr-20Ti-20Al ,900,20,0,0,20,20,20,0,0,0,0,0,0,0,0,20,0,0.304,0
3,20Ta-20Mo-20Cr-20Ti-20Al ,1000,20,0,0,20,20,20,0,0,0,0,0,0,0,0,20,0,0.514,0
3,20Ta-20Mo-20Cr-20Ti-20Al ,1100,20,0,0,20,20,20,0,0,0,0,0,0,0,0,20,0,1.94,0
4,92Ni-6Cr-2Al,1000,0,92,0,2,6,0,0,0,0,0,0,0,0,0,0,0,5,1
4,92Ni-6Cr-2Al,1100,0,92,0,2,6,0,0,0,0,0,0,0,0,0,0,0,12.5,0
4,92Ni-6Cr-2Al,1200,0,92,0,2,6,0,0,0,0,0,0,0,0,0,0,0,25.46,1
5,94Ni-6Cr,1100,0,94,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14.18,1
6,94Ni-6Al,1100,0,94,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12.52,1
7,64Ni-32Cr-4Al,1000,0,64,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0.7,0
7,64Ni-32Cr-4Al,1100,0,64,0,4,32,0,0,0,0,0,0,0,0,0,0,0,2.2,1
7,64Ni-32Cr-4Al,1200,0,64,0,4,32,0,0,0,0,0,0,0,0,0,0,0,4.5,0
8,67Ni-33Cr,1000,0,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1.4,0
8,67Ni-33Cr,1100,0,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2.6,0
8,67Ni-33Cr,1200,0,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4.6,0
9,74Ni-22Cr-4Al,1000,0,74,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0.4,0
9,74Ni-22Cr-4Al,1100,0,74,0,4,22,0,0,0,0,0,0,0,0,0,0,0,1.6,0
9,74Ni-22Cr-4Al,1200,0,74,0,4,22,0,0,0,0,0,0,0,0,0,0,0,2.23,0
10,58Ni-42Al,1000,0,58,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
10,58Ni-42Al,1100,0,58,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
10,58Ni-42Al,1200,0,58,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
11,67.5Ni-20.5Cr-12Al,1200,0,67.5,0,12,20.5,0,0,0,0,0,0,0,0,0,0,0,0.97,0
12,83Ni-5Cr-12Al,1000,0,83,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0.2,0
12,83Ni-5Cr-12Al,1100,0,83,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0.32,0
12,83Ni-5Cr-12Al,1200,0,83,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0.75,0
13,19.8Nb-19.8Mo-19.8Cr-19.8Ti-19.8Al-1Si,900,19.8,0,0,19.8,19.8,19.8,1,0,0,0,0,0,0,0,19.8,0,0.68,0
13,19.8Nb-19.8Mo-19.8Cr-19.8Ti-19.8Al-1Si,1000,19.8,0,0,19.8,19.8,19.8,1,0,0,0,0,0,0,0,19.8,0,2.27,0
13,19.8Nb-19.8Mo-19.8Cr-19.8Ti-19.8Al-1Si,1100,19.8,0,0,19.8,19.8,19.8,1,0,0,0,0,0,0,0,19.8,0,2.8,0
17,8Al-17Co-17Cr-8Cu-17Fe-Ni33,800,0,33,0,8,17,0,0,8,17,17,0,0,0,0,0,0,0.067,0
17,8Al-17Co-17Cr-8Cu-17Fe-Ni33,1000,0,33,0,8,17,0,0,8,17,17,0,0,0,0,0,0,0.33,0
18,23Al-15Co-23Cr-8Cu-15Fe-15Ni,800,0,15,0,23,23,0,0,8,15,15,0,0,0,0,0,0,0.092,0
18,23Al-15Co-23Cr-8Cu-15Fe-15Ni,1000,0,15,0,23,23,0,0,8,15,15,0,0,0,0,0,0,0.12,0
19,17Al-17Co-17Cr-17Cu-17Fe-17Ni,800,0,16.7,0,16.7,16.7,0,0,17,16.7,16.7,0,0,0,0,0,0,0.067,0
19,17Al-17Co-17Cr-17Cu-17Fe-17Ni,1000,0,16.7,0,16.7,16.7,0,0,17,16.7,16.7,0,0,0,0,0,0,0.1,0
20,33Co-33Fe-33Ni,800,0,33.3,0,0,0,0,0,0,33.3,33.3,0,0,0,0,0,0,4.4,2
20,33Co-33Fe-33Ni,900,0,33.3,0,0,0,0,0,0,33.3,33.3,0,0,0,0,0,0,9.2,2
20,33Co-33Fe-33Ni,1000,0,33.3,0,0,0,0,0,0,33.3,33.3,0,0,0,0,0,0,16.2,2
21,25Ni-25Cr-25Fe-25Co,750,0,25.1,0,0.15,24.5,0,0,0,24.95,24.78,0.52,0,0,0,0,0,0.044,0
21,25Co-25Cr-25Fe-25Ni,800,0,25,0,0,25,0,0,0,25,25,0,0,0,0,0,0,0.1,0
21,25Co-25Cr-25Fe-25Ni,900,0,25,0,0,25,0,0,0,25,25,0,0,0,0,0,0,1,0
21,25Co-25Cr-25Fe-25Ni,1000,0,25,0,0,25,0,0,0,25,25,0,0,0,0,0,0,1.6,0
22,20Co-20Cr-20Fe-20Ni-20Cu,800,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0.48,1
22,20Co-20Cr-20Fe-20Ni-20Cu,900,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,1.16,0
22,20Co-20Cr-20Fe-20Ni-20Cu,1000,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,5.1,1
23,316 ss steel,800,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,0.1,0
23,316 ss steel,900,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,0.89,0
23,316 ss steel,1000,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,6.22,2
24,20Nb-20Cr-20Mo-20Ti-10Al,1300,20.01,0,0,9.97,24.7,23.5,0,0,0,0,0,0,0,0,0,21.81,150.26,2
25,20Nb-20Cr-20Mo-20V-10Al,1300,22.16,0,0,10.15,23.04,0,0,0,0,0,0,22.2,0,0,0,22.5,346.33,2
26,18Nb-18Cr-18Mo-18Ti-18V-8Al,1300,18.08,0,0,8.15,18.92,18.12,0,0,0,0,0,18.4,0,0,0,18.35,268.45,2
27,17Nb-17Cr-17Mo-17Ti-17V-8Al-6Si ,1300,17.14,0,0,6.96,16.95,18.26,5.69,0,0,0,0,17.3,0,0,0,17.68,196.07,2
28,25Nb-25Ti-25Zr-25V,1000,0,0,0,0,0,24.5,0,0,0,0,0,23,24.2,0,0,28.3,235.13,2
29,25Nb-25Ti-25Zr-25Cr,1000,0,0,0,0,24.6,23.9,0,0,0,0,0,0,24.8,0,0,26.7,65.06,2
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,700,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,0.81,2
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,800,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,3.07,1
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,900,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,4.85,2
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,1050,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,1.27,0
31,T91 steel,900,0.6,0,0,0,10.1,0,0.99,0,86.73,0,0.6,0.27,0,0,0,0.06,63.71,2
32,SA 516 steel,900,0,0,0,0,0,0,0.2,0,97.62,0,0.94,0,0,0,0,0,130.56,2
33,T22 steel,900,0.66,0,0,0,2.78,0,0.5,0,94.76,0,0.61,0,0,0,0,0,163.59,2
34,60Co-20Ni-9Al-9W-2Cr,900,0,20,9,9,2,0,0,0,0,60,0,0,0,0,0,0,3.2,2
34,60Co-20Ni-9Al-9W-2Cr,1000,0,20,9,9,2,0,0,0,0,60,0,0,0,0,0,0,6.9,2
35,58Co-20Ni-9Al-9W-4Cr,900,0,20,9,9,4,0,0,0,0,58,0,0,0,0,0,0,2.7,2
35,58Co-20Ni-9Al-9W-4Cr,1000,0,20,9,9,4,0,0,0,0,58,0,0,0,0,0,0,5.9,1
36,56Co-20Ni-9Al-9W-6Cr,900,0,20,9,9,6,0,0,0,0,56,0,0,0,0,0,0,2.6,2
36,56Co-20Ni-9Al-9W-6Cr,1000,0,20,9,9,6,0,0,0,0,56,0,0,0,0,0,0,4,0
37,54Co-20Ni-9Al-9W-8Cr,900,0,20,9,9,8,0,0,0,0,54,0,0,0,0,0,0,1.9,1
37,54Co-20Ni-9Al-9W-8Cr,1000,0,20,9,9,8,0,0,0,0,54,0,0,0,0,0,0,3,0
38,52Co-20Ni-9Al-9W-10Cr,900,0,20,9,9,10,0,0,0,0,52,0,0,0,0,0,0,0.4,0
38,52Co-20Ni-9Al-9W-10Cr,1000,0,20,9,9,10,0,0,0,0,52,0,0,0,0,0,0,1.6,0
39,82Co–9Al–9W–0.08B,800,0,0,9.5,8.9,0,0,0,0,0,81.5,0,0,0,0,0,0,2.37,0
39,81Co–9Al–9W–0.08B,900,0,0,9.5,8.9,0,0,0,0,0,81.5,0,0,0,0,0,0,6.4,2
40,82Co–9Al–9W–0.12B,800,0,0,9.3,8.8,0,0,0,0,0,81.8,0,0,0,0,0,0,1.81,2
40,82Co–9Al–9W–0.12B,900,0,0,9.3,8.8,0,0,0,0,0,81.8,0,0,0,0,0,0,4.26,2
41,80Co-9Al-9W-2Ta-0.02B,800,0,0,9,9,0,0,0,0,0,79.98,0,0,0,0,2,0,2.11,2
41,80Co-9Al-9W-2Ta-0.02B,900,0,0,9,9,0,0,0,0,0,79.98,0,0,0,0,2,0,3.12,2
42,78Co-9Al-7W-2Ta-0.02B-2Hf,800,0,0,7,9,0,0,0,0,0,79.98,0,0,0,2,2,0,3.39,2
42,78Co-9Al-7W-2Ta-0.02B-2Hf,900,0,0,7,9,0,0,0,0,0,79.98,0,0,0,2,2,0,9.45,2
43,78Co-9Al-7W-2Ta-0.02B-2Nb,800,0,0,7,9,0,0,0,0,0,79.98,0,0,0,0,2,2,2.86,2
43,78Co-9Al-7W-2Ta-0.02B-2Nb,900,0,0,7,9,0,0,0,0,0,79.98,0,0,0,0,2,2,8.93,2
44,78Co-9Al-7W-2Ta-0.02B-2Mo,800,2,0,7,9,0,0,0,0,0,79.98,0,0,0,0,2,0,3.91,2
44,78Co-9Al-7W-2Ta-0.02B-2Mo,900,2,0,7,9,0,0,0,0,0,79.98,0,0,0,0,2,0,10.18,2
45,82Co–9Al–9W–0.04B,800,0,0,9.7,8.4,0,0,0,0,0,81.9,0,0,0,0,0,0,2.07,2
46,78Co–9Al–9W–0.04B-4Cr,800,0,0,9.5,8.6,4.1,0,0,0,0,77.8,0,0,0,0,0,0,0.99,2
47,74Co–9Al–9W–0.04B-8Cr,800,0,0,9.3,8.7,8.2,0,0,0,0,73.8,0,0,0,0,0,0,0.134,0
48,MAR-M:Co-base superalloy,800,0,9.3,2.1,0,25.8,0,0,0,0,59.1,0,0,0,0,1,0,0.52,1
49,20Cr-20Mn-20Fe-20Co-20Ni,700,0,20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,0.33,2
49,20Cr-20Mn-20Fe-20Co-20Ni,800,0,20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,0.73,2
49,20Cr-20Mn-20Fe-20Co-20Ni,900,0,20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,1.28,0
51,austenite steel,700,0,0.9,0,0,10,0,0,0,70,0,17.8,0,0,0,0,0,0.3,2
51,austenite steel,800,0,0.9,0,0,10,0,0,0,70,0,17.8,0,0,0,0,0,29.2,2
51,austenite steel,900,0,0.9,0,0,10,0,0,0,70,0,17.8,0,0,0,0,0,68.5,2
51,austenite steel,1000,0,0.9,0,0,10,0,0,0,70,0,17.8,0,0,0,0,0,108.2,2
52,22Nb-18Cr-10Mo-12Ta-20Ti-18Zr,1000,10.04,0,0,0,18.39,19.4,0,0,0,0,0,0,18.48,0,11.86,21.84,45.5,2
53,21Ni-21Cr-17Fe-21Co-21Mn,750,0,20.74,0,0,20.62,0,0,0,17.4,20.59,20.65,0,0,0,0,0,0.4,2
54,21Ni-21Cr-17Fe-21Co-21Mn-0.1Nb,750,0,21.41,0,0,20.66,0,0,0,17.2,20.38,20.29,0,0,0,0,0.07,0.33,2
55,17Ni-18Cr-31Fe-17Co-16Mn-0.05Nb,750,0,17.23,0,0,18.46,0,0,0,30.99,16.72,16.54,0,0,0,0,0.05,0.3,1
56,17Ni-22Cr-29Fe-16Co-15Mn-0.05Nb,750,0,16.91,0,0,22.38,0,0,0,29.16,16.03,15.46,0,0,0,0,0.05,0.26,1
57,15Ni-17Cr-40Fe-14Co-14Mn-0.1Nb,750,0,14.88,0,0,17.28,0,0,0,39.77,14.12,13.86,0,0,0,0,0.1,0.25,1
58,12Ni-17Cr-47Fe-12Co-12Mn-0.1Nb,750,0,12.41,0,0,16.97,0,0,0,46.75,11.87,11.9,0,0,0,0,0.1,0.2,0
60,304h,750,0,7.92,0,0.18,19.93,0,0.91,0,69.74,0.22,1.1,0,0,0,0,0,0.18,0
61,230 super alloy,750,0.82,64.26,4.88,1.06,26.56,0,1.05,0,0.45,0.35,0.58,0,0,0,0,0,0.17,0
61,230 SUPERALLOY,900,5.6758436780423,53.9036856223477,0,2.35656637729522,24.2161914494818,0.457923693769867,0,0,1.23949270494099,11.7646765214738,0,0,0,0,0,0,0.205,2
61,230 SUPERALLOY,1000,5.6758436780423,53.9036856223477,0,2.35656637729522,24.2161914494818,0.457923693769867,0,0,1.23949270494099,11.7646765214738,0,0,0,0,0,0,1.60248267898383,2
62,8Al-23Co-23Cr-23Ni-23Fe,1050,0,23,0,8,23,0,0,0,23,23,0,0,0,0,0,0,1.43,0
63,12Al-22Co-22Cr-22Ni-22Fe,1050,0,22,0,12,22,0,0,0,22,22,0,0,0,0,0,0,1.05,0
64,15Al-21.25Co-21.25Cr-21.25Ni-21.25Fe,1050,0,21.25,0,15,21.25,0,0,0,21.25,21.25,0,0,0,0,0,0,1.64,0
65,20Al-20Co-20Cr-20Ni-20Fe,700,0,20,0,20,20,0,0,0,20,20,0,0,0,0,0,0,0.034,0
65,20Al-20Co-20Cr-20Ni-20Fe,800,0,20,0,20,20,0,0,0,20,20,0,0,0,0,0,0,0.056,0
65,20Al-20Co-20Cr-20Ni-20Fe,900,0,20,0,20,20,0,0,0,20,20,0,0,0,0,0,0,0.2,0
65,20Al-20Co-20Cr-20Ni-20Fe,1000,0,20,0,20,20,0,0,0,20,20,0,0,0,0,0,0,0.52,0
65,20Al-20Co-20Cr-20Ni-20Fe,1050,0,20,0,20,20,0,0,0,20,20,0,0,0,0,0,0,0.87,0
66,30Al-17.5Co-17.5Cr-17.5Ni-17.5Fe,700,0,17.5,0,30,17.5,0,0,0,17.5,17.5,0,0,0,0,0,0,0.48,2
67,21.8Nb-24.7Cr-20.0Mo-23.5Ti-10.0Al,1300,20,0,0,10,24.7,23.5,0,0,0,0,0,0,0,0,0,21.8,152.2,2
68,22.5Nb-23Cr-22Mo-22.15V-10Al,1300,22,0,0,10,23,0,0,0,0,0,0,21.5,0,0,0,22.5,346.7,2
69,18.3Nb-18.9Cr-18.1Mo-8.2Al-18.1Ti-18.4V,1300,18.1,0,0,8.2,18.9,18.1,0,0,0,0,0,18.4,0,0,0,18.3,266.4,2
70,17.7Nb-17Cr-17.1Mo-7Al-18.2Ti-17.3V-5.7Si,1300,17.1,0,0,7,17,18.2,5.7,0,0,0,0,17.3,0,0,0,17.7,196.1,2
71,97Fe-3Al,1000,0,0,0,2.9,0,0,0,0,97.1,0,0,0,0,0,0,0,17.6,0
72,95Fe-2Cr-3Al,1000,0,0,0,3,2.1,0,0,0,94.9,0,0,0,0,0,0,0,6.05,2
73,94Fe-3Cr-3Al,1000,0,0,0,3,3,0,0,0,94,0,0,0,0,0,0,0,2.95,2
74,92Fe-5Cr-3Al,1000,0,0,0,2.7,5.3,0,0,0,92,0,0,0,0,0,0,0,3.09,0
75,86Fe-10Cr-3Al,1000,0,0,0,3.1,10.7,0,0,0,86.2,0,0,0,0,0,0,0,0.323,0
76,41Ni-20Co-11Fe-8Al-12Cr-7Ti ,900,0,41.05,0,7.82,12.18,7.1,0,0,11.4,20.45,0,0,0,0,0,0,1.36,0
76,41Ni-20Co-11Fe-8Al-12Cr-7Ti ,1100,0,41.05,0,7.82,12.18,7.1,0,0,11.4,20.45,0,0,0,0,0,0,4.01,0
77,49Ni-17Co-9Fe-10Al-7.5Cr-5.5Ti ,1100,0.87,48.74,0.45,10.27,7.46,5.77,0,0,8.91,16.91,0,0,0,0,0.61,0,1.3,0
